version,group,bench_simple,bench_full,mode,mean,unit,date
old,Cypher,MapProjection.executePlan,"MapProjection.executePlan_(engine,INTERPRETED)_(includeAllProps,false)_(size,10)",LATENCY,3.66846529556241,ms,1576452190236
old,Cypher,MapProjection.executePlan,"MapProjection.executePlan_(engine,INTERPRETED)_(includeAllProps,false)_(size,10)",LATENCY,3.68315454981332,ms,1576214538490
old,Cypher,MapProjection.executePlan,"MapProjection.executePlan_(engine,INTERPRETED)_(includeAllProps,false)_(size,10)",LATENCY,3.81536073930079,ms,1575788177503
old,Cypher,MapProjection.executePlan,"MapProjection.executePlan_(engine,INTERPRETED)_(includeAllProps,false)_(size,10)",LATENCY,3.60829410183848,ms,1575228520664
old,Cypher,IndexSeek.executePlan,"IndexSeek.executePlan_(propertyType,long)_(runtime,slotted)_(selectivity,0.1)",LATENCY,10.0419948637215,ms,1576452190236
old,Cypher,IndexSeek.executePlan,"IndexSeek.executePlan_(propertyType,long)_(runtime,slotted)_(selectivity,0.1)",LATENCY,9.92268432641184,ms,1576214538490
old,Cypher,IndexSeek.executePlan,"IndexSeek.executePlan_(propertyType,long)_(runtime,slotted)_(selectivity,0.1)",LATENCY,9.88152904439467,ms,1575788177503
old,Cypher,IndexSeek.executePlan,"IndexSeek.executePlan_(propertyType,long)_(runtime,slotted)_(selectivity,0.1)",LATENCY,9.84623119863463,ms,1575228520664
old,Cypher,Selection.executePlan,"Selection.executePlan_(propertyType,small_string)_(runtime,slotted)_(selectivity,0.5)",LATENCY,244.358985955555,ms,1576452190236
old,Cypher,Selection.executePlan,"Selection.executePlan_(propertyType,small_string)_(runtime,slotted)_(selectivity,0.5)",LATENCY,238.606399602484,ms,1576214538490
old,Cypher,Selection.executePlan,"Selection.executePlan_(propertyType,small_string)_(runtime,slotted)_(selectivity,0.5)",LATENCY,245.079673904761,ms,1575788177503
old,Cypher,Selection.executePlan,"Selection.executePlan_(propertyType,small_string)_(runtime,slotted)_(selectivity,0.5)",LATENCY,245.177504306709,ms,1575228520664
old,Cypher,CompositeIndexSeek.executePlan,"CompositeIndexSeek.executePlan_(propertyCount,2)_(propertyType,long)_(runtime,interpreted)_(selectivity,0.1)",LATENCY,26.0402128083188,ms,1576452190236
old,Cypher,CompositeIndexSeek.executePlan,"CompositeIndexSeek.executePlan_(propertyCount,2)_(propertyType,long)_(runtime,interpreted)_(selectivity,0.1)",LATENCY,27.0717251019085,ms,1576214538490
old,Cypher,CompositeIndexSeek.executePlan,"CompositeIndexSeek.executePlan_(propertyCount,2)_(propertyType,long)_(runtime,interpreted)_(selectivity,0.1)",LATENCY,26.2486220656883,ms,1575788177503
old,Cypher,CompositeIndexSeek.executePlan,"CompositeIndexSeek.executePlan_(propertyCount,2)_(propertyType,long)_(runtime,interpreted)_(selectivity,0.1)",LATENCY,28.7297007181054,ms,1575228520664
old,Cypher,GroupingAndAggregation.executePlan,"GroupingAndAggregation.executePlan_(distinctCount,10000)_(propertyType,small_string)_(runtime,compiled-bytecode)",LATENCY,66.1926258402107,ms,1576452190236
old,Cypher,GroupingAndAggregation.executePlan,"GroupingAndAggregation.executePlan_(distinctCount,10000)_(propertyType,small_string)_(runtime,compiled-bytecode)",LATENCY,69.8393689990749,ms,1576214538490
old,Cypher,GroupingAndAggregation.executePlan,"GroupingAndAggregation.executePlan_(distinctCount,10000)_(propertyType,small_string)_(runtime,compiled-bytecode)",LATENCY,67.0436769050577,ms,1575788177503
old,Cypher,GroupingAndAggregation.executePlan,"GroupingAndAggregation.executePlan_(distinctCount,10000)_(propertyType,small_string)_(runtime,compiled-bytecode)",LATENCY,68.0955744896116,ms,1575228520664
old,Cypher,VarExpandWithPredicates.executePlan,"VarExpandWithPredicates.executePlan_(auth,false)_(degree,10)_(length,3)_(minDepth,2)_(runtime,interpreted)_(user,full)",LATENCY,78257.8832725333,ms,1576452190236
old,Cypher,VarExpandWithPredicates.executePlan,"VarExpandWithPredicates.executePlan_(auth,false)_(degree,10)_(length,3)_(minDepth,2)_(runtime,interpreted)_(user,full)",LATENCY,75564.5808639999,ms,1576214538490
old,Cypher,VarExpandWithPredicates.executePlan,"VarExpandWithPredicates.executePlan_(auth,false)_(degree,10)_(length,3)_(minDepth,2)_(runtime,interpreted)_(user,full)",LATENCY,80235.3577984,ms,1575788177503
old,Cypher,VarExpandWithPredicates.executePlan,"VarExpandWithPredicates.executePlan_(auth,false)_(degree,10)_(length,3)_(minDepth,2)_(runtime,interpreted)_(user,full)",LATENCY,78714.2235477333,ms,1575228520664
old,Cypher,ExpandInto.executePlan,"ExpandInto.executePlan_(runtime,slotted)",LATENCY,1905.65872071111,ms,1576452190236
old,Cypher,ExpandInto.executePlan,"ExpandInto.executePlan_(runtime,slotted)",LATENCY,1962.79446186666,ms,1576214538490
old,Cypher,ExpandInto.executePlan,"ExpandInto.executePlan_(runtime,slotted)",LATENCY,1865.34679893333,ms,1575788177503
old,Cypher,ExpandInto.executePlan,"ExpandInto.executePlan_(runtime,slotted)",LATENCY,1916.89013475555,ms,1575228520664
old,Cypher,VarExpand.executePlan,"VarExpand.executePlan_(auth,false)_(degree,10)_(length,3)_(minDepth,2)_(runtime,interpreted)_(user,full)",LATENCY,79841.6524629333,ms,1576452190236
old,Cypher,VarExpand.executePlan,"VarExpand.executePlan_(auth,false)_(degree,10)_(length,3)_(minDepth,2)_(runtime,interpreted)_(user,full)",LATENCY,76683.0619306666,ms,1576214538490
old,Cypher,VarExpand.executePlan,"VarExpand.executePlan_(auth,false)_(degree,10)_(length,3)_(minDepth,2)_(runtime,interpreted)_(user,full)",LATENCY,78266.8311210666,ms,1575788177503
